File Name,Date,method,Notes
HeLa_180125_25c15W_r5,180125,43iv_abrf-like_Top20_CID-HCD,Waters union in liquid junction
HeLa_180125_25c15W_r6,180125,43iv_abrf-like_Top20_CID-HCD,Waters union in liquid junction
HeLa_180127_25c15W_r1,180127,43iv_abrf-like_Top20_CID-HCD,after a couple of dirty samples
HeLa_180127_25c15W_r2,180127,43iv_abrf-like_Top20_CID-HCD,after a couple of dirty samples
HeLa_180129_25c15W_r1,180129,43iv_abrf-like_Top20_CID-HCD, calibration
HeLa_180129_25c15W_r2,180129,43iv_abrf-like_Top20_CID-HCD, calibration
HeLa_180129_25c15W_r3,180129,43iv_abrf-like_Top20_CID-HCD, calibration
HeLa_180205_25c15W_r1,180205,43iv_abrf-like_Top20_CID-HCD,calibration
HeLa_180205_25c15W_r2,180205,43iv_abrf-like_Top20_CID-HCD,calibration
HeLa_180205_25c15W_r3,180205,43iv_abrf-like_Top20_CID-HCD,calibration
HeLa_180209_25c15W_r1,180209,43iv_abrf-like_Top20_CID-HCD, calibration
HeLa_180209_25c15W_r2,180209,43iv_abrf-like_Top20_CID-HCD,...
HeLa_180220_25c15W_r1,180220,43iv_abrf-like_Top20_CID-HCD, calibration
HeLa_180220_25c15W_r2sid35,180220,46_abrf-like_Top20_CID-HCD-SID35, calibration
HeLa_180220_25c15W_r3,180220,43iv_abrf-like_Top20_CID-HCD, calibration
HeLa_180220_25c15W_r4sid35,180220,46_abrf-like_Top20_CID-HCD-SID35, calibration
HeLa_180220_25c15W_r5,180220,43iv_abrf-like_Top20_CID-HCD, calibration
HeLa_180220_25c15W_r6sid35,180220,46_abrf-like_Top20_CID-HCD-SID35, calibration
HeLa_180220_25c15W_r7,180220,43iv_abrf-like_Top20_CID-HCD, calibration
HeLa_180220_25c15W_r8sid50,180220,46_abrf-like_Top20_CID-HCD-SID50, calibration
HeLa_180220_25c15W_r9,180220,43iv_abrf-like_Top20_CID-HCD, calibration
HeLa_180220_25c15W_r10sid50,180220,46_abrf-like_Top20_CID-HCD-SID50, calibration
HeLa_180220_25c15W_r11,180220,43iv_abrf-like_Top20_CID-HCD, calibration
HeLa_180220_25c15W_r12sid50,180220,46_abrf-like_Top20_CID-HCD-SID50, calibration
HeLa_180301_25c15W_r1,180301,43iv_abrf-like_Top20_CID-HCD, calibration
HeLa_180220_25c15W_r2,180220,43iv_abrf-like_Top20_CID-HCD,"BAD file NAME, should be 180301 instead"
HeLa_180306_t26c15W_r1,180306,43iv_abrf-like_Top20_CID-HCD, calibration
HeLa_180306_t26c15W_r2,180306,43iv_abrf-like_Top20_CID-HCD, calibration
HeLa_180306_t26c15W_r3,180306,43iv_abrf-like_Top20_CID-HCD, calibration
HeLa_180306_t26c15W_r4,180306,43iv_abrf-like_Top20_CID-HCD, calibration
HeLa_180315_t26c15W_r1,180315,43iv_abrf-like_Top20_CID-HCD," new tip, calibrated two days ago"
HeLa_180306_t26c15W_r2,180306,43iv_abrf-like_Top20_CID-HCD,"new tip, calibrated two days ago"
HeLa_180320_r1,180320,43iv_abrf-like_Top20_CID-HCD,"... new tip, calibrated two days ago"
HeLa_180320_r2,180320,43iv_abrf-like_Top20_CID-HCD,"... new tip, calibrated two days ago"
HeLa_180320_r3,180320,43iv_abrf-like_Top20_CID-HCD,"... new tip, calibrated two days ago"
HeLa_180321_r1,180321,43iv_abrf-like_Top20_CID-HCD,...
HeLa_180321_r2,180321,43iv_abrf-like_Top20_CID-HCD,...
HeLa_180321_r3,180321,43iv_abrf-like_Top20_CID-HCD,...
HeLa_180321_r4,180321,43iv_abrf-like_Top20_CID-HCD,...
